agency_id;line_id;lineName;logoPath;type;isPriority;darkMode
fr-astuce;311;311;https://hexatransit.fr/assets/logo/fr-astuce/bus/311.png;BUS;0;0
fr-astuce;313;313;https://hexatransit.fr/assets/logo/fr-astuce/bus/313.png;BUS;0;0
fr-astuce;314;314;https://hexatransit.fr/assets/logo/fr-astuce/bus/314.png;BUS;0;0
fr-astuce;315;315;https://hexatransit.fr/assets/logo/fr-astuce/bus/315.png;BUS;0;0
fr-astuce;322;322;https://hexatransit.fr/assets/logo/fr-astuce/bus/322.png;BUS;0;0
fr-astuce;330;330;https://hexatransit.fr/assets/logo/fr-astuce/bus/330.png;BUS;0;0
fr-astuce;331;331;https://hexatransit.fr/assets/logo/fr-astuce/bus/331.png;BUS;0;0
fr-astuce;332;332;https://hexatransit.fr/assets/logo/fr-astuce/bus/332.png;BUS;0;0
fr-astuce;333;333;https://hexatransit.fr/assets/logo/fr-astuce/bus/333.png;BUS;0;0
fr-astuce;334;334;https://hexatransit.fr/assets/logo/fr-astuce/bus/334.png;BUS;0;0
fr-astuce;335;335;https://hexatransit.fr/assets/logo/fr-astuce/bus/335.png;BUS;0;0
fr-astuce;336;336;https://hexatransit.fr/assets/logo/fr-astuce/bus/336.png;BUS;0;0
fr-astuce;340;340;https://hexatransit.fr/assets/logo/fr-astuce/bus/340.png;BUS;0;0
fr-astuce;341;341;https://hexatransit.fr/assets/logo/fr-astuce/bus/341.png;BUS;0;0
fr-astuce;342;342;https://hexatransit.fr/assets/logo/fr-astuce/bus/342.png;BUS;0;0
fr-astuce;343;343;https://hexatransit.fr/assets/logo/fr-astuce/bus/343.png;BUS;0;0
fr-astuce;350;350;https://hexatransit.fr/assets/logo/fr-astuce/bus/350.png;BUS;0;0
fr-astuce;351;351;https://hexatransit.fr/assets/logo/fr-astuce/bus/351.png;BUS;0;0
fr-astuce;360;360;https://hexatransit.fr/assets/logo/fr-astuce/bus/360.png;BUS;0;0
fr-astuce;361;361;https://hexatransit.fr/assets/logo/fr-astuce/bus/361.png;BUS;0;0
fr-astuce;363;363;https://hexatransit.fr/assets/logo/fr-astuce/bus/363.png;BUS;0;0
fr-astuce;364;364;https://hexatransit.fr/assets/logo/fr-astuce/bus/364.png;BUS;0;0
